time,us_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,shortwave_radiation
2026-09-05 05:00:00,66,14.8,31.2,119.0,5.5,4.4,41.0,26.2,86,14.0,269,1005.7,0.0,0.0
2026-09-05 06:00:00,66,15.1,32.1,166.0,6.9,4.6,40.0,26.1,87,13.1,268,1006.2,0.0,0.0
2026-09-05 07:00:00,66,17.9,38.4,230.0,8.8,4.9,39.0,26.5,86,13.7,272,1006.8,0.0,15.0
2026-09-05 08:00:00,66,17.9,41.4,268.0,9.6,5.1,41.0,27.4,80,14.9,270,1007.3,0.0,147.0
2026-09-05 09:00:00,66,21.4,51.6,254.0,8.3,5.0,48.0,28.6,72,15.3,269,1007.8,0.0,347.0
2026-09-05 10:00:00,66,21.7,54.0,213.0,6.1,4.8,57.0,29.5,67,17.2,263,1008.1,0.0,537.0
2026-09-05 11:00:00,66,22.2,57.5,183.0,4.4,4.6,63.0,29.3,68,17.7,257,1008.0,0.1,496.0
2026-09-05 12:00:00,67,22.4,60.5,176.0,4.0,4.5,63.0,29.5,68,17.6,252,1007.7,0.2,514.0
2026-09-05 13:00:00,67,21.9,61.0,180.0,4.3,4.5,61.0,29.5,69,17.8,247,1007.2,0.2,514.0
2026-09-05 14:00:00,67,20.3,53.0,188.0,4.9,4.5,57.0,29.1,71,18.4,243,1006.7,0.3,418.0
2026-09-05 15:00:00,67,19.2,48.9,203.0,5.7,4.4,53.0,28.9,73,18.7,240,1006.1,0.2,394.0
2026-09-05 16:00:00,67,17.7,43.3,224.0,6.8,4.4,49.0,28.5,75,18.4,237,1005.9,0.3,311.0
